Timestamp, Music , Playlist_Or_Randomize, GPA , Time_studying 
10/30/2023 10:05:46,yes,randomize,0,120
10/30/2023 13:19:50,yes,playlist,2.5,45
10/30/2023 13:27:56,yes,randomize,3,60
10/30/2023 13:28:55,yes,playlist,3.28,60
10/30/2023 13:28:57,yes,playlist,3.6,300
10/30/2023 13:30:20,yes,playlist,3.7,0
10/30/2023 13:33:07,yes,randomize,2.98,60
10/30/2023 13:38:24,yes,playlist,3.7,60
10/30/2023 13:40:04,no,playlist,2.9,60
10/30/2023 13:40:23,yes,playlist,4,45
10/30/2023 13:43:15,yes,playlist,3.953,0
10/30/2023 13:45:24,yes,playlist,0,80
10/30/2023 13:47:08,yes,randomize,3.97,120
10/30/2023 13:47:50,yes,randomize,3.8,60
10/30/2023 13:53:50,yes,playlist,2.8,180
10/30/2023 13:53:50,yes,randomize,3.5,120
10/30/2023 13:55:12,yes,playlist,0,30
10/30/2023 13:58:12,no,playlist,3.7,10
10/30/2023 14:02:16,yes,playlist,3.9,60
10/30/2023 14:03:13,yes,playlist,3.6,25
10/30/2023 14:05:00,yes,playlist,3,300
10/30/2023 14:07:36,no,playlist,2.5,30
10/30/2023 14:08:17,yes,playlist,0,60
10/30/2023 14:11:38,yes,randomize,3.5,45
10/30/2023 14:11:59,no,playlist,3.9,60
10/30/2023 14:15:18,yes,playlist,2,10
10/30/2023 14:16:10,no,playlist,3.5,0
10/30/2023 14:17:44,yes,playlist,3.4,60
10/30/2023 14:20:17,yes,randomize,3.6,180
10/30/2023 14:21:39,yes,playlist,3.8,240
10/30/2023 14:21:52,no,randomize,3.37,120
10/30/2023 14:22:45,yes,playlist,3.5,30
10/30/2023 14:24:43,yes,playlist,3,60
10/30/2023 14:25:00,yes,randomize,2.58,50
10/30/2023 14:25:42,no,randomize,0,16
10/30/2023 14:26:12,yes,randomize,3.6,20
10/30/2023 14:31:23,yes,playlist,2.85,0
10/30/2023 14:31:42,yes,playlist,3.4,120
10/30/2023 14:31:44,no,playlist,3.4,120
10/30/2023 14:31:54,yes,playlist,4.15,180
10/30/2023 14:32:41,yes,playlist,2,30
10/30/2023 14:33:32,yes,playlist,4,600
10/30/2023 14:33:52,yes,playlist,2,120
10/30/2023 14:34:47,yes,randomize,3,120
10/30/2023 14:35:18,yes,randomize,3.5,120
10/30/2023 14:37:12,no,playlist,4,90
10/30/2023 14:37:54,yes,randomize,4,150
10/30/2023 14:38:53,yes,playlist,3.2,60
10/30/2023 14:39:50,yes,playlist,3.5,180
10/30/2023 14:40:09,yes,playlist,3,30
10/30/2023 14:40:41,yes,randomize,3.8,180
10/30/2023 14:42:03,yes,playlist,3.6,120
10/30/2023 14:42:14,yes,randomize,4,350
10/30/2023 14:43:58,yes,playlist,2,30
10/30/2023 14:44:15,no,playlist,4,30
10/30/2023 14:45:34,yes,randomize,3.45,30
10/30/2023 14:47:29,no,playlist,3.5,180
10/30/2023 14:47:30,yes,randomize,3,60
10/30/2023 14:48:47,yes,playlist,2.5,90
10/30/2023 14:48:56,yes,randomize,3.95,180
10/30/2023 14:51:59,yes,randomize,3.5,120
10/30/2023 14:52:03,yes,playlist,3.6,90
10/30/2023 14:52:53,yes,randomize,3.6,300
10/30/2023 14:55:27,yes,playlist,3.5,120
10/30/2023 14:55:47,yes,randomize,3.5,120
10/30/2023 15:02:08,no,playlist,4,60
10/30/2023 15:06:50,yes,randomize,3.5,120
10/30/2023 15:16:42,yes,playlist,3.8,40
10/30/2023 15:23:05,no,playlist,2.5,60
10/30/2023 15:51:45,yes,playlist,3.8,69
10/30/2023 15:58:43,yes,randomize,2.5,20
10/30/2023 16:06:56,yes,playlist,3.8,0
10/30/2023 16:51:38,yes,randomize,3,60
10/30/2023 16:51:43,yes,playlist,3.64,180
10/30/2023 17:05:58,yes,playlist,3.2,45
10/30/2023 17:09:41,yes,playlist,4,30
10/30/2023 17:39:50,no,randomize,0,60
10/30/2023 18:02:31,yes,randomize,3.34,500
10/30/2023 18:05:55,no,randomize,0.1,60
10/30/2023 18:38:58,yes,playlist,3.94,240
10/30/2023 18:40:45,yes,playlist,3,120
10/30/2023 18:42:06,yes,randomize,3,90
10/30/2023 19:54:06,yes,playlist,3.51,120
10/30/2023 21:28:32,yes,playlist,3,100
10/30/2023 22:58:13,no,randomize,3.5,60
10/30/2023 23:02:37,yes,playlist,4,135
10/30/2023 23:03:44,yes,randomize,2.5,20
10/30/2023 23:05:15,no,randomize,3.2,240
10/30/2023 23:06:36,no,randomize,3.4,30
10/30/2023 23:08:44,no,playlist,2.58,60
10/30/2023 23:09:31,yes,randomize,3,20
10/30/2023 23:10:51,yes,playlist,2,0
10/30/2023 23:12:45,yes,randomize,4.15,10
10/30/2023 23:13:28,yes,randomize,2,120
10/30/2023 23:14:26,no,playlist,3.6,90
10/30/2023 23:15:02,yes,playlist,3,0
10/30/2023 23:16:05,no,randomize,4,300
10/30/2023 23:17:42,yes,playlist,3.9,40
10/30/2023 23:18:27,yes,playlist,2.5,60
10/30/2023 23:19:47,yes,playlist,3.95,30
10/30/2023 23:42:45,yes,playlist,3.6,5
10/31/2023 10:23:20,yes,randomize,3.25,300
10/31/2023 10:32:45,yes,playlist,2,30
10/31/2023 13:14:07,yes,playlist,3.5,180